status	axis	repo	path	files	bytes	note
OK	api	alexellis/pipedrive-sdk	research/repos/api/alexellis__pipedrive-sdk	7	160K	
OK	api	alexleventer/node-salesloft	research/repos/api/alexleventer__node-salesloft	42	388K	
OK	api	amoniacou/pipedrive.rb	research/repos/api/amoniacou__pipedrive.rb	64	400K	
OK	api	aureeaubert/rsalesloft	research/repos/api/aureeaubert__rsalesloft	43	304K	
OK	api	clarkmcc/go-hubspot	research/repos/api/clarkmcc__go-hubspot	2454	22668K	
OK	api	DavidRouyer/pipedrive-dotnet	research/repos/api/DavidRouyer__pipedrive-dotnet	424	2648K	
OK	api	GearPlug/pipedrive-python	research/repos/api/GearPlug__pipedrive-python	23	232K	
OK	api	genert/pipedrive-api	research/repos/api/genert__pipedrive-api	48	472K	
OK	api	HubSpot/hubspot-php	research/repos/api/HubSpot__hubspot-php	140	1012K	
OK	api	hubspot-net/HubSpot.NET	research/repos/api/hubspot-net__HubSpot.NET	140	836K	
OK	api	IsraelOrtuno/pipedrive	research/repos/api/IsraelOrtuno__pipedrive	72	496K	
OK	api	jpetrucciani/hubspot3	research/repos/api/jpetrucciani__hubspot3	73	648K	
OK	api	jsforce/jsforce	research/repos/api/jsforce__jsforce	190	5104K	
OK	api	jsmpereira/zoominfo	research/repos/api/jsmpereira__zoominfo	10	168K	
OK	api	kevinohara80/nforce	research/repos/api/kevinohara80__nforce	62	904K	
OK	api	mctekk/zohocrm	research/repos/api/mctekk__zohocrm	42	472K	
OK	api	mvrzan/salesforce-agentforce-a2a-wrapper	research/repos/api/mvrzan__salesforce-agentforce-a2a-wrapper	62	8924K	
OK	api	osubeaver808/salesloft-api-sdk	research/repos/api/osubeaver808__salesloft-api-sdk	188	1676K	
OK	api	pipedrive/client-nodejs	research/repos/api/pipedrive__client-nodejs	1032	7604K	
OK	api	pipedrive/client-php	research/repos/api/pipedrive__client-php	2417	27952K	
OK	api	pozil/agent-api-node-client	research/repos/api/pozil__agent-api-node-client	15	400K	
OK	api	rikas/zoho_hub	research/repos/api/rikas__zoho_hub	49	372K	
OK	api	simple-salesforce/simple-salesforce	research/repos/api/simple-salesforce__simple-salesforce	59	2456K	
OK	api	snhou/zoho-crm-api-python	research/repos/api/snhou__zoho-crm-api-python	4	136K	
OK	api	steady-media/pipedrive	research/repos/api/steady-media__pipedrive	49	492K	
OK	api	TTRGroup/pipedrive-api-php	research/repos/api/TTRGroup__pipedrive-api-php	17	216K	
OK	api	Weble/ZohoCrmApi	research/repos/api/Weble__ZohoCrmApi	89	1564K	
OK	api	wyattbenno777/zoho-elixir	research/repos/api/wyattbenno777__zoho-elixir	22	220K	
OK	api	zakirullin/pipedrive	research/repos/api/zakirullin__pipedrive	19	228K	
OK	api	zoho/zcrm-php-sdk	research/repos/api/zoho__zcrm-php-sdk	95	1352K	
OK	api	zoho/zcrm-python-sdk	research/repos/api/zoho__zcrm-python-sdk	18	616K	
SKIP	eval	amazon-agi/tau2-bench-verified	research/repos/eval/amazon-agi__tau2-bench-verified	234	671436K	already present
SKIP	eval	ArcadeAI/attio-mcp-benchmark	research/repos/eval/ArcadeAI__attio-mcp-benchmark	34	3024K	already present
SKIP	eval	jackfsuia/ShampooSalesAgent	research/repos/eval/jackfsuia__ShampooSalesAgent	32	4296K	already present
SKIP	eval	qinyh10300/R2A-Sales-Benchmark	research/repos/eval/qinyh10300__R2A-Sales-Benchmark	521	71520K	already present
SKIP	eval	Rperry2174/ai_sales_eval_arena	research/repos/eval/Rperry2174__ai_sales_eval_arena	89	928K	already present
SKIP	eval	SalesforceAIResearch/CRMArena	research/repos/eval/SalesforceAIResearch__CRMArena	165	216560K	already present
SKIP	eval	SalesforceAIResearch/MCPEval	research/repos/eval/SalesforceAIResearch__MCPEval	507	88020K	already present
SKIP	eval	sierra-research/tau-bench	research/repos/eval/sierra-research__tau-bench	113	66660K	already present
SKIP	eval	sierra-research/tau2-bench	research/repos/eval/sierra-research__tau2-bench	1556	871724K	already present
SKIP	eval	SparkBeyond/agentune	research/repos/eval/SparkBeyond__agentune	377	14880K	already present
OK	mcp	advancedcommunities/salesforce-mcp-server	research/repos/mcp/advancedcommunities__salesforce-mcp-server	39	960K	
OK	mcp	avisangle/method-crm-mcp	research/repos/mcp/avisangle__method-crm-mcp	25	404K	
OK	mcp	baryhuang/mcp-hubspot	research/repos/mcp/baryhuang__mcp-hubspot	35	740K	
OK	mcp	Biftekic/PerfexCRM-MCP	research/repos/mcp/Biftekic__PerfexCRM-MCP	181	3008K	
SKIP	mcp	BusyBee3333/close-crm-mcp-2026-complete	research/repos/mcp/BusyBee3333__close-crm-mcp-2026-complete	44	496K	already present
SKIP	mcp	calypsoCodex/hubspot-mcp-extended	research/repos/mcp/calypsoCodex__hubspot-mcp-extended	126	3004K	already present
OK	mcp	ckalima/pipedrive-mcp-server	research/repos/mcp/ckalima__pipedrive-mcp-server	185	6132K	
OK	mcp	comma-compliance/pipedrive-mcp	research/repos/mcp/comma-compliance__pipedrive-mcp	134	1244K	
OK	mcp	cvillaronga/SuiteCRM-MCP	research/repos/mcp/cvillaronga__SuiteCRM-MCP	70	628K	
OK	mcp	doshirush1901/brain-os	research/repos/mcp/doshirush1901__brain-os	449	10116K	
OK	mcp	HorizonPartners/salesforce-mcp-server	research/repos/mcp/HorizonPartners__salesforce-mcp-server	3	140K	
SKIP	mcp	jaworjar95/salesforce-mcp-server	research/repos/mcp/jaworjar95__salesforce-mcp-server	29	524K	already present
SKIP	mcp	JustinBeckwith/gongio-mcp	research/repos/mcp/JustinBeckwith__gongio-mcp	40	8416K	already present
OK	mcp	kablewy/salesforce-mcp-server	research/repos/mcp/kablewy__salesforce-mcp-server	18	352K	
SKIP	mcp	kesslerio/attio-mcp-server	research/repos/mcp/kesslerio__attio-mcp-server	1407	16216K	already present
OK	mcp	KonstiDoll/twenty-crm-mcp-server	research/repos/mcp/KonstiDoll__twenty-crm-mcp-server	85	916K	
OK	mcp	kylastech/kylas-crm-mcp-server	research/repos/mcp/kylastech__kylas-crm-mcp-server	11	316K	
OK	mcp	LaGrowthMachine/gtm-system	research/repos/mcp/LaGrowthMachine__gtm-system	68	1124K	
OK	mcp	LeadMagic/smartlead-mcp-server	research/repos/mcp/LeadMagic__smartlead-mcp-server	44	1016K	
SKIP	mcp	Linked-API/linkedapi-mcp	research/repos/mcp/Linked-API__linkedapi-mcp	87	824K	already present
SKIP	mcp	lkm1developer/apollo-io-mcp-server	research/repos/mcp/lkm1developer__apollo-io-mcp-server	10	260K	already present
OK	mcp	LokiMCPUniverse/salesforce-mcp-server	research/repos/mcp/LokiMCPUniverse__salesforce-mcp-server	24	356K	
OK	mcp	lrtherond/SuiteCRM_MCP	research/repos/mcp/lrtherond__SuiteCRM_MCP	10	344K	
OK	mcp	marmelab/atomic-crm-mcp	research/repos/mcp/marmelab__atomic-crm-mcp	17	788K	
OK	mcp	MattSezgin/unofficial-smartlead-cli	research/repos/mcp/MattSezgin__unofficial-smartlead-cli	94	1244K	
SKIP	mcp	mhenry3164/twenty-crm-mcp-server	research/repos/mcp/mhenry3164__twenty-crm-mcp-server	13	296K	already present
SKIP	mcp	nubiia-dev/mcp-pipedrive	research/repos/mcp/nubiia-dev__mcp-pipedrive	428	4920K	already present
OK	mcp	omhq/settra	research/repos/mcp/omhq__settra	151	2052K	
OK	mcp	realfastAI/salesforce-mcp-server	research/repos/mcp/realfastAI__salesforce-mcp-server	75	1996K	
OK	mcp	relaticle/relaticle	research/repos/mcp/relaticle__relaticle	1920	28648K	
SKIP	mcp	RupertBarrow/awesome-salesforce-mcp	research/repos/mcp/RupertBarrow__awesome-salesforce-mcp	3	152K	already present
OK	mcp	SameerShrivastava-SF/Salesforce-MCP-Server	research/repos/mcp/SameerShrivastava-SF__Salesforce-MCP-Server	40	988K	
SKIP	mcp	shinzo-labs/hubspot-mcp	research/repos/mcp/shinzo-labs__hubspot-mcp	28	708K	already present
OK	mcp	spread-ai/salesloft-mcp-server	research/repos/mcp/spread-ai__salesloft-mcp-server	19	284K	
OK	mcp	storehausai/mcp-server-ecount	research/repos/mcp/storehausai__mcp-server-ecount	43	784K	
OK	mcp	sub-arjun/OMNI-Sales	research/repos/mcp/sub-arjun__OMNI-Sales	2	144K	
OK	mcp	Synter-Media-AI/hubspot-agent	research/repos/mcp/Synter-Media-AI__hubspot-agent	16	304K	
OK	mcp	timescale/tiger-salesforce-mcp-server	research/repos/mcp/timescale__tiger-salesforce-mcp-server	38	536K	
SKIP	mcp	tsmztech/mcp-server-salesforce	research/repos/mcp/tsmztech__mcp-server-salesforce	40	592K	already present
OK	mcp	WillDent/pipedrive-mcp-server	research/repos/mcp/WillDent__pipedrive-mcp-server	27	408K	
SKIP	mcp	zavora-ai/mcp-crm	research/repos/mcp/zavora-ai__mcp-crm	16	364K	already present
OK	mcp	zavora-ai/mcp-erp	research/repos/mcp/zavora-ai__mcp-erp	20	532K	
OK	schema	1Panel-dev/CordysCRM	research/repos/schema/1Panel-dev__CordysCRM	2978	27472K	
OK	schema	ArnasDon/wacrm	research/repos/schema/ArnasDon__wacrm	467	6284K	
OK	schema	AymaanPathan/Zindle.Ai	research/repos/schema/AymaanPathan__Zindle.Ai	85	1272K	
OK	schema	brspdewuser/enterpriseq2c	research/repos/schema/brspdewuser__enterpriseq2c	0	80K	
OK	schema	Crmitsolution/Streamline-your-Business-with-Quote-to-Cash	research/repos/schema/Crmitsolution__Streamline-your-Business-with-Quote-to-Cash	0	80K	
OK	schema	cross-d-engineer/Close_CRM-API	research/repos/schema/cross-d-engineer__Close_CRM-API	22	1068K	
OK	schema	DjangoCRM/django-crm	research/repos/schema/DjangoCRM__django-crm	667	12072K	
OK	schema	Dolibarr/dolibarr	research/repos/schema/Dolibarr__dolibarr	15618	417156K	
OK	schema	DominateAi/Dominate-AI	research/repos/schema/DominateAi__Dominate-AI	2608	487772K	
OK	schema	espocrm/espocrm	research/repos/schema/espocrm__espocrm	9888	74480K	
OK	schema	ever-co/ever-gauzy	research/repos/schema/ever-co__ever-gauzy	12872	179616K	
SKIP	schema	frappe/crm	research/repos/schema/frappe__crm	976	58056K	already present
OK	schema	getbeton/inspector	research/repos/schema/getbeton__inspector	547	6300K	
OK	schema	goten009/closer-crm-api	research/repos/schema/goten009__closer-crm-api	4	248K	
OK	schema	ictinnovations/ictcrm	research/repos/schema/ictinnovations__ictcrm	9304	106232K	
OK	schema	idurar/idurar-erp-crm	research/repos/schema/idurar__idurar-erp-crm	458	3452K	
OK	schema	in6lack/syntora	research/repos/schema/in6lack__syntora	30	420K	
OK	schema	InvoicePlane/InvoicePlane	research/repos/schema/InvoicePlane__InvoicePlane	619	8564K	
OK	schema	IP050/zoho_one	research/repos/schema/IP050__zoho_one	12	196K	
OK	schema	krayin/laravel-crm	research/repos/schema/krayin__laravel-crm	1229	68756K	
OK	schema	kushalbhandari37/ZohoCrmApi	research/repos/schema/kushalbhandari37__ZohoCrmApi	5	208K	
OK	schema	liberusoftware/crm-laravel	research/repos/schema/liberusoftware__crm-laravel	1425	16664K	
OK	schema	luckyshot/CRMx	research/repos/schema/luckyshot__CRMx	31	608K	
OK	schema	MattJerson/Smart-CRM-Lead-Intelligence	research/repos/schema/MattJerson__Smart-CRM-Lead-Intelligence	48	468K	
OK	schema	mettle/sendportal	research/repos/schema/mettle__sendportal	181	1012K	
OK	schema	monicahq/monica	research/repos/schema/monicahq__monica	2093	25552K	
OK	schema	notrinos/NotrinosERP	research/repos/schema/notrinos__NotrinosERP	1419	25676K	
OK	schema	phpList/phplist3	research/repos/schema/phpList__phplist3	995	33112K	
OK	schema	point8/pipetools	research/repos/schema/point8__pipetools	5	156K	
OK	schema	pypesdev/coldflow	research/repos/schema/pypesdev__coldflow	358	8020K	
OK	schema	raosiddharthp/The-Autonomous-Quote-to-Cash	research/repos/schema/raosiddharthp__The-Autonomous-Quote-to-Cash	13	2248K	
OK	schema	ringcentral/rc-unified-crm-extension	research/repos/schema/ringcentral__rc-unified-crm-extension	834	45076K	
OK	schema	rxcod9/joy-voyager-crm	research/repos/schema/rxcod9__joy-voyager-crm	2071	11160K	
OK	schema	SuiteCRM/SuiteCRM	research/repos/schema/SuiteCRM__SuiteCRM	9542	107148K	
