repo	vendor_hint	tool_count	path
kesslerio__attio-mcp-server	attio-mcp-server	285	research/repos/mcp/kesslerio__attio-mcp-server
nubiia-dev__mcp-pipedrive	mcp-pipedrive	142	research/repos/mcp/nubiia-dev__mcp-pipedrive
shinzo-labs__hubspot-mcp	hubspot-mcp	112	research/repos/mcp/shinzo-labs__hubspot-mcp
BusyBee3333__close-crm-mcp-2026-complete	close-crm-mcp-2026-complete	94	research/repos/mcp/BusyBee3333__close-crm-mcp-2026-complete
mhenry3164__twenty-crm-mcp-server	twenty-crm-mcp-server	31	research/repos/mcp/mhenry3164__twenty-crm-mcp-server
tsmztech__mcp-server-salesforce	mcp-server-salesforce	26	research/repos/mcp/tsmztech__mcp-server-salesforce
JustinBeckwith__gongio-mcp	gongio-mcp	22	research/repos/mcp/JustinBeckwith__gongio-mcp
jaworjar95__salesforce-mcp-server	salesforce-mcp-server	18	research/repos/mcp/jaworjar95__salesforce-mcp-server
Linked-API__linkedapi-mcp	linkedapi-mcp	14	research/repos/mcp/Linked-API__linkedapi-mcp
lkm1developer__apollo-io-mcp-server	apollo-io-mcp-server	7	research/repos/mcp/lkm1developer__apollo-io-mcp-server
calypsoCodex__hubspot-mcp-extended	hubspot-mcp-extended	1	research/repos/mcp/calypsoCodex__hubspot-mcp-extended
RupertBarrow__awesome-salesforce-mcp	awesome-salesforce-mcp	0	research/repos/mcp/RupertBarrow__awesome-salesforce-mcp
zavora-ai__mcp-crm	mcp-crm	0	research/repos/mcp/zavora-ai__mcp-crm
